"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"532",-1.37086923076923,-1.27502662721893,-4.8980471451294,0.000237790107458364,0.00395901796611286,0.122712002682686
"1518",-1.24042115384615,2.4017899408284,-4.89732390042018,0.000238110673569157,0.00396234608356323,0.121333268018797
"28042",-1.48876346153846,-3.11966863905325,-4.89709872720498,0.000238210569191922,0.00396234608356323,0.12090400454774
"9158",-1.18354711538461,-2.29499408284024,-4.89649683156599,0.000238477806769442,0.00396495563138329,0.119756541612534
"733",-1.62976346153846,3.91602366863905,-4.89399393901417,0.000239592409382432,0.00397612733334938,0.114984566275012
"8456",-1.13942692307692,-3.06956804733728,-4.89114838195742,0.000240866167272991,0.00399173455901812,0.109558444142744
"6540",-1.49690673076923,-1.4870650887574,-4.89000861878528,0.000241378325616943,0.00399653541985768,0.107384811127697
"494",-1.17179903846154,-0.657062130177515,-4.88844623937345,0.000242082222383006,0.00400265631293099,0.104404980845959
"5214",-1.23939711538462,-1.21526331360947,-4.88622358065866,0.000243087259874122,0.00401373261030208,0.100165383817164
"13938",-1.39952980769231,-2.16165088757396,-4.88279965372994,0.000244643949459368,0.00402788322022742,0.0936333867790342
"21297",-1.45870288461538,-2.67977514792899,-4.88245341955398,0.000244801938757056,0.00402788322022742,0.0929727877788027
"20498",-1.02345288461538,-0.417044378698225,-4.88236756802959,0.000244841129810924,0.00402788322022742,0.092808984981712
"7074",-1.79518653846154,-2.01056213017751,-4.87904695592725,0.000246361980180586,0.00404364531105905,0.0864727190142629
"12657",-1.59713653846154,-3.81779289940828,-4.87463318836833,0.000248398659305895,0.00407521252520616,0.0780486904577478
"340",-1.21326538461539,1.10064792899408,-4.87340729987611,0.000248967419089408,0.00408267932472084,0.0757086110673297
"31737",-1.67561442307692,-3.24152958579882,-4.87179983844733,0.000249715256794752,0.00408962783714803,0.0726399075323112
"7494",-1.35698653846154,2.82551479289941,-4.86959331806418,0.000250745584322088,0.00410060905740023,0.068427124888605
"21912",-1.23559903846154,-2.32552366863905,-4.86631307788476,0.000252285425836044,0.00411829307808415,0.0621633822526126
"7862",-1.19334519230769,-1.24673372781065,-4.86507718392468,0.000252868127787439,0.00412405763199042,0.0598030959869282
"35747",-1.37838365384615,-2.1097100591716,-4.85222813201702,0.000259009436777454,0.00420133185281135,0.0352545241491802
"20380",-1.51155480769231,2.72519526627219,-4.83580908388793,0.000267082524896778,0.00431281260090621,0.00385970732355645
"14961",-1.10077211538462,0.181044378698225,-4.82924123081999,0.000270384410760089,0.00435438883648554,-0.00870667601526165
"25897",-1.297275,-0.0243846153846153,-4.82890477994322,0.000270554689603298,0.00435517896180865,-0.00935053589183266
"24166",-1.00914615384615,-4.01632544378698,-4.82325859704439,0.000273428859403213,0.00439160728184982,-0.0201573143103495
