,log2FoldChange,AveExpr,t,P.Value,padj,B
40139,-0.49892371,2.083903186,-1.834692278,0.075014838,0.15070144,-5.988615268
20066,-0.249575397,0.870712827,-1.834491276,0.075045333,0.150755598,-5.988960541
24707,-0.20916379,0.181063317,-1.834324695,0.075070614,0.150799277,-5.989246662
4995,-0.191255159,-0.322713235,-1.834159245,0.075095731,0.150842622,-5.98953082
20825,-0.283124008,0.415926471,-1.834079298,0.07510787,0.150859896,-5.98966812
4666,-0.192004167,0.019575572,-1.833995397,0.075120611,0.150878378,-5.989812205
11563,0.272470139,-0.52592933,1.833944375,0.07512836,0.150886832,-5.989899824
4757,-0.273836905,1.050582516,-1.833734074,0.075160308,0.150939959,-5.990260948
24270,0.678138294,1.437266748,1.833723625,0.075161895,0.150939959,-5.990278889
8686,-0.384232837,0.043821895,-1.833449158,0.075203609,0.151016612,-5.990750144
41324,-0.813882837,0.797209967,-1.833421676,0.075207786,0.151017887,-5.990797326
32677,-0.311001885,-0.104270016,-1.833346311,0.075219244,0.151033779,-5.990926713
1302,-0.397022421,-0.31096732,-1.833179915,0.075244547,0.151077468,-5.99121237
28528,-0.216659623,-0.304756536,-1.83301203,0.075270083,0.151121622,-5.991500561
41862,-0.669308929,2.453813317,-1.832889797,0.075288681,0.15115184,-5.991710373
29955,0.321901984,-0.312414624,1.832713366,0.07531553,0.151198623,-5.992013194
13775,-0.208659028,0.269587827,-1.83261288,0.075330827,0.151222208,-5.992185655
4751,-0.305768056,1.549051062,-1.832486928,0.075350003,0.15125358,-5.99240181
20867,-0.28265377,-0.511379902,-1.832174655,0.075397564,0.151341925,-5.992937673
29941,0.378625298,0.209085784,1.831995721,0.075424829,0.151389522,-5.993244691
3553,0.404443353,0.208495915,1.831964958,0.075429517,0.151391803,-5.993297472
32092,-0.182631845,-0.474890931,-1.831840774,0.075448445,0.151422663,-5.993510531
440,-0.209655853,0.185437092,-1.831683144,0.075472477,0.151463762,-5.993780957
41922,-0.293634325,-0.717420752,-1.831533957,0.075495227,0.151502286,-5.994036878
41647,-0.677509921,1.204066993,-1.831142068,0.075555017,0.151615133,-5.994709063
34752,-0.455984921,-1.846186275,-1.831111005,0.075559758,0.151617509,-5.994762338
9153,-0.18867371,0.222187908,-1.830689141,0.075624169,0.151739612,-5.995485792
2761,-0.270067361,-0.246768791,-1.830419938,0.075665296,0.151814987,-5.995947376
34954,-0.512868353,-1.114334559,-1.830300097,0.075683611,0.151844586,-5.996152842
33174,-0.240035218,-0.87288317,-1.830099634,0.075714255,0.151898918,-5.996496509
4341,-0.364018849,1.13549183,-1.830036418,0.075723921,0.151911159,-5.996604876
18233,-0.280706647,1.577851716,-1.829904251,0.075744133,0.151944555,-5.996831434
18723,0.228071329,0.026261029,1.829631844,0.075785806,0.152020997,-5.997298348
4115,0.316090476,0.397921569,1.829587411,0.075792605,0.152027482,-5.997374502
10189,-0.211638492,0.824895016,-1.829473901,0.075809977,0.152055171,-5.997569039
33908,0.239962798,0.432408905,1.829090159,0.07586873,0.152165856,-5.998226639
3796,-0.323203571,0.400781454,-1.829009567,0.075881075,0.152176724,-5.998364731
34607,-0.309048512,-0.461139297,-1.829008163,0.07588129,0.152176724,-5.998367136
861,0.946114087,0.762736111,1.828927453,0.075893654,0.152194359,-5.998505426
16616,-0.203065873,-0.349113971,-1.828645505,0.075936859,0.152273837,-5.998988476
4203,-0.26642996,0.280496324,-1.827663841,0.076087451,0.152568636,-6.000669848
32608,-0.22424256,0.099786356,-1.827389031,0.076129653,0.152639194,-6.001140403
19095,-0.236002381,0.105191993,-1.827388071,0.076129801,0.152639194,-6.001142046
42089,-0.423415774,-0.109574755,-1.827363026,0.076133648,0.152639727,-6.001184927
1941,-0.274635218,0.531810049,-1.827273222,0.076147444,0.152657676,-6.001338683
6182,0.429119742,-0.221332108,1.827258125,0.076149763,0.152657676,-6.00136453
24323,-0.340152579,-0.194566993,-1.827118235,0.076171259,0.152688193,-6.001604026
27151,0.24603502,-0.304364379,1.827112435,0.07617215,0.152688193,-6.001613957
17069,0.449343353,1.142479984,1.827046971,0.076182211,0.152692763,-6.001726027
38234,-0.234314385,-1.069935866,-1.827040711,0.076183173,0.152692763,-6.001736743
10617,-0.320796528,0.126814951,-1.827014261,0.076187239,0.152692763,-6.001782023
28145,-0.735849008,0.474270016,-1.827004367,0.07618876,0.152692763,-6.001798961
22129,-0.36465625,-0.356593546,-1.826851622,0.076212241,0.152732641,-6.002060434
5999,-0.236936607,-0.582872549,-1.82670827,0.076234284,0.152763933,-6.002305811
25793,-0.319225496,-1.203925654,-1.826703463,0.076235023,0.152763933,-6.002314039
28980,0.346825992,0.487180147,1.826643318,0.076244273,0.152769454,-6.002416984
40065,-0.395922024,0.584592729,-1.826638939,0.076244946,0.152769454,-6.00242448
12881,-0.326831052,2.27151348,-1.826566393,0.076256105,0.15278463,-6.002548648
25274,0.280261607,-0.156973856,1.826388875,0.076283415,0.152832164,-6.002852466
32463,-0.632574901,1.366850899,-1.826357591,0.076288229,0.152834625,-6.002906005
25527,0.466971925,-0.146384804,1.826309218,0.076295673,0.152841417,-6.00298879
40689,-0.304072421,0.345613154,-1.826288956,0.076298791,0.152841417,-6.003023464
15016,-0.262849504,2.461947712,-1.826253881,0.076304189,0.152845048,-6.00308349
37213,-0.306324901,-0.358345588,-1.826180566,0.076315474,0.152856118,-6.003208952
14206,-0.299600694,-0.296028186,-1.826171376,0.076316888,0.152856118,-6.003224677
3739,-0.292773313,-0.349487745,-1.825945154,0.076351717,0.152918691,-6.003611778
30730,-0.246590278,-0.036370507,-1.825797904,0.076374394,0.152956923,-6.003863724
2378,-0.248443254,-0.925026552,-1.8257553,0.076380957,0.152957004,-6.003936616
22212,-0.234880952,-0.11367402,-1.825731781,0.07638458,0.152957004,-6.003976856
21646,0.180722024,0.189738562,1.82572775,0.076385201,0.152957004,-6.003983753
25513,-0.26395248,0.244919935,-1.825594729,0.076405694,0.152990854,-6.004211331
24352,-0.401610516,-0.27138848,-1.825485201,0.076422572,0.15301746,-6.004398706
22810,-0.391420536,0.274581699,-1.825304111,0.076450484,0.153066157,-6.004708487
21367,-0.659980159,1.846771242,-1.825146291,0.076474816,0.153107682,-6.004978439
30744,-0.181516171,0.453514297,-1.824936407,0.076507186,0.153162431,-6.005337416
16434,-0.194085417,0.114619281,-1.824922383,0.076509349,0.153162431,-6.005361402
38990,-0.22009752,-0.625941585,-1.824891998,0.076514036,0.153164621,-6.005413368
15112,-0.242245536,-0.228543301,-1.824729425,0.076539119,0.153207637,-6.005691399
5450,-0.238494742,-0.959453023,-1.824652601,0.076550975,0.153224172,-6.005822775
33715,-0.305183135,-0.80606781,-1.824608855,0.076557726,0.15323049,-6.005897582
904,-0.648815575,1.212564951,-1.824485144,0.076576822,0.153261513,-6.006109126
11836,0.499852282,0.705965278,1.824292377,0.076606585,0.153311859,-6.006438731
29270,-0.224824405,0.176786356,-1.824268626,0.076610252,0.153311859,-6.00647934
13676,-0.258834821,0.997014706,-1.82425234,0.076612768,0.153311859,-6.006507185
31594,-0.519025595,0.090314134,-1.824198182,0.076621132,0.153321399,-6.006599781
15533,-0.202270734,0.141362745,-1.823998231,0.076652019,0.153369054,-6.006941623
11938,-0.413746627,-1.625291258,-1.823997428,0.076652143,0.153369054,-6.006942996
32133,-0.22676002,-0.279966912,-1.823659158,0.076704422,0.153466452,-6.007521244
41432,0.266323313,-0.123050654,1.823491379,0.076730363,0.153511148,-6.007808017
20900,-0.249488988,0.487572712,-1.823429424,0.076739944,0.153517131,-6.007913907
38244,-0.209287897,-0.105694036,-1.823425459,0.076740557,0.153517131,-6.007920683
32087,-0.358294742,1.291843954,-1.823387819,0.076746379,0.153521572,-6.007985014
3732,-0.250565675,-0.101086601,-1.823271382,0.076764389,0.153550393,-6.00818401
31479,0.808729266,1.817573529,1.823043925,0.076799583,0.153612932,-6.008572712
2071,-0.262663095,0.138401552,-1.823015413,0.076803995,0.153612932,-6.008621434
27476,-0.317087202,-1.227754902,-1.822999445,0.076806466,0.153612932,-6.008648719
18983,-0.210640972,0.454093954,-1.822966671,0.076811539,0.15361587,-6.008704723
24242,-0.666072619,2.839808415,-1.822909791,0.076820343,0.153626269,-6.008801916
19250,-0.272428274,1.304234069,-1.822822049,0.076833925,0.153646223,-6.008951839
13176,0.303844841,-0.242767974,1.822631373,0.07686345,0.153698052,-6.009277623
12470,-0.383784325,-1.686245507,-1.822183792,0.07693279,0.153826145,-6.010042235
25298,0.32346746,0.945486928,1.822171304,0.076934726,0.153826145,-6.010063568
939,-0.489444444,0.534457108,-1.822085148,0.07694808,0.153839532,-6.010210731
932,-0.276151984,0.510634804,-1.822081536,0.07694864,0.153839532,-6.010216901
31333,-0.285306647,-0.762921569,-1.822016926,0.076958656,0.15385234,-6.010327257
42608,-0.259308532,-0.697093546,-1.821829416,0.07698773,0.153903245,-6.010647515
22684,-0.673768948,2.222296977,-1.821686163,0.077009947,0.15394044,-6.010892164
17046,1.049805655,2.276194444,1.821567266,0.077028392,0.15397009,-6.011095208
451,-0.379480754,0.322707108,-1.821520053,0.077035717,0.153977511,-6.011175831
20025,-0.456566766,-1.178547386,-1.821474919,0.077042721,0.153984288,-6.011252904
